# pattern;frequency
[== Verb and Noun==, ===ကြောင်းတူသံကွဲ===];1
[== Verb and Noun==];1
[== ပသျှူး ==, === ရင်းမြစ် ===];1
[== ပသျှူး ==, === အသံထွက် ===];1
[== ပသျှူး ==];1
[==''intj.''==, ===ကြောင်းတူသံကွဲ===];1
[==''intj.''==];1
[==''poss.''==, ===ကြောင်းတူသံကွဲ===];1
[==''poss.''==];1
[==''poss..''==, ===ကြောင်းတူသံကွဲ===];1
[==''poss..''==];1
[==''pနာမ်ပုဒ်ပြစကားလုံး''==, ===ကြောင်းတူသံကွဲ===];1
[==''pနာမ်ပုဒ်ပြစကားလုံး''==];1
[==''နာမ်စား''==];1
[==''ဝိဘတ်''==];1
[==<<!--Synonyms-->>==];1
[===ကြိယာ===, ====ကြောင်းတူသံကွဲများ====];5
[===ကြိယာ===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];5
[===ကြိယာ===, ====အရေအတွက်====];5
[===ကြိယာ===];9
[===ကြိယာဝိသေသန===, ====ကြောင်းတူသံကွဲများ====];1
[===ကြိယာဝိသေသန===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[===ကြိယာဝိသေသန===, ====အရေအတွက်====];1
[===ကြိယာဝိသေသန===];1
[===ကြိယာ​ဝိသေသ​န===];1
[===စကားစု===];1
[===စဦးထွက်===];1
[===ဆင်းသက်လာသောအသုံးများ===, ====ကြားဖောက်ပြောဆိုခြင်း====];1
[===ဆင်းသက်လာသောအသုံးများ===, ====ကြိယာ====];1
[===ဆင်းသက်လာသောအသုံးများ===, ====ကြောင်းတူစာလုံးကွဲများ====];1
[===ဆင်းသက်လာသောအသုံးများ===];1
[===နာမ်===, ====ကြောင်းတူစာလုံးကွဲများ====];3
[===နာမ်===, ====ကြောင်းတူသံကွဲများ====];7
[===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];7
[===နာမ်===, ====အရေအတွက်====];7
[===နာမ်===];21
[===ဘာသာပြန်===];14
[==Abj==];2
[==Burmese==, ===pronunciation===];1
[==Burmese==, ===ကြိယာ===, ====ကြောင်းတူသံကွဲများ====];1
[==Burmese==, ===ကြိယာ===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[==Burmese==, ===ကြိယာ===, ====အရေအတွက်====];1
[==Burmese==, ===ကြိယာ===];1
[==Burmese==, ===ကြောင်းတူသံကွဲ===];2
[==Burmese==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];8
[==Burmese==, ===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];8
[==Burmese==, ===နာမ်===, ====အရေအတွက်====];8
[==Burmese==, ===နာမ်===];57
[==Burmese==, ===ဘာသာပြန်===];9
[==Burmese==, ===ရင်းမြစ်===];9
[==Burmese==, ===အသံထွက်===];99
[==Burmese==];156
[==Danish==];1
[==Dutch==];1
[==English==, ===နာမဝိသေသန===];1
[==English==, ===မူကွဲအသုံးများ===];1
[==English==];1
[==Estonian==];1
[==French==];1
[==German==, ===နာမဝိသေသန===];1
[==German==];1
[==Icelandic==];1
[==Japanese==, ===နာမ်===];9
[==Japanese==];11
[==Malay==, ===နာမ်===];2
[==Malay==];2
[==Mon==, ===နာမ်===];1
[==Mon==];1
[==Myanmar==];1
[==Norwegian==];1
[==Russian==, ===နာမ်===];2
[==Russian==];2
[==Slovak==];1
[==Spanish==, ===နာမ်===];1
[==Spanish==];1
[==Swahili==, ===နာမ်===];1
[==Swahili==];1
[==Swedish==];1
[==Synonym==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];1
[==Synonym==, ===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[==Synonym==, ===နာမ်===, ====အရေအတွက်====];1
[==Synonym==, ===နာမ်===];1
[==Synonym==, ===ဘာသာပြန်===];1
[==Synonym==, ===ရင်းမြစ်===];1
[==Synonym==, ===အသံထွက်===];1
[==Synonym==];2
[==Translingual==];2
[==Verb ==, ===ကြောင်းတူသံကွဲ===];1
[==Verb ==];1
[==Verb and adj==, ===ကြောင်းတူသံကွဲ===];1
[==Verb and adj==];1
[=={{-th-}}==, ===Letter===];1
[=={{-th-}}==, ===မူကွဲပုံစံ===];1
[=={{-th-}}==, ===ဝေါဟာရရင်းမြစ်===];1
[=={{-th-}}==, ===အက္ခရာ===];3
[=={{-th-}}==, ===အသံထွက်===];11
[=={{-th-}}==];42
[=={{=en=}}==, ====ကြောင်းတူအသုံးများ====];1
[=={{=en=}}==, ====ဆင့်ပွားအသုံးများ====];1
[=={{=en=}}==, ====နာမ်====];1
[=={{=en=}}==, ===Alternative forms===];1
[=={{=en=}}==, ===Pronunciation===];1
[=={{=en=}}==, ==={{-noun-|en}}===];1
[=={{=en=}}==, ==={{ကြိယာ}}===];2
[=={{=en=}}==, ==={{ကြိယာဝိသေသန}}===];1
[=={{=en=}}==, ==={{နာမဝိသေသန}}===];2
